table_id,proxy_col,n_rows,n_aligned_cols,self_auc,discovery_score
Houston,Median Home Value,40,1,0.995,0.2282
z_id_tables_licensed_Houston,Median Home Value,40,1,0.995,0.2282
z_real_time_tables_licensed_propertydata,zestimate,49,5,0.9574,0.2129
z_half_life_tables_licensed_london_expected,listing_price,100,3,0.9062,0.1638
butler_games_2014-2016,home_id,77,1,0.8991,0.2145
z_lead_time_tables_licensed_General%20Traffic%20Engineering%20Request,Property_ID,64,1,0.8442,0.3437
z_lead_time_tables_licensed_Lead_20,Property_ID,55,1,0.7167,0.3321
z_running_time_tables_licensed_Bicycle%20Issues,Property_ID,75,1,0.6959,0.3347
variableReport_1_Plovdiv,type_estimated,32,1,0.619,0.1297
z_then_tables_licensed_s5r1a-Weights,Low Price,66,1,0.5863,0.2381
z_growth_rate_tables_licensed_s3r1a-Weights,Low Price,59,1,0.5219,0.2543
z_question_time_tables_licensed_issue-list,Tax calculation,51,1,0.5,0.2249
