lake,target,baseline,level0,level2,level5,ensemble,source_ensemble,oracle
gittables,adult,0.3654739082881587,0.7200473325222213,0.7615545194287588,0.2749984488028384,0.3632020519777102,0.5686653971600026,0.9264249630964728
gittables,bank,0.5,0.5,0.5,0.5347121197235365,0.5347121789082319,0.5,0.9285637176511252
gittables,churn,0.5011741455475471,0.5309385414244748,0.49617401637862,0.3561290655919812,0.4391872691105428,0.5331512051460902,0.8425275775659408
gittables,credit,0.4035119047619048,0.4260119047619047,0.4373214285714286,0.604047619047619,0.5048809523809523,0.5,0.7636904761904761
gittables,diabetes,0.5082407407407407,0.6199999999999999,0.6199999999999999,0.6835185185185185,0.7131481481481482,0.6990740740740741,0.8285185185185185
gittables,heart,0.5708333333333333,0.6833333333333333,0.6833333333333333,0.6791666666666667,0.6819444444444445,0.6833333333333333,0.8847222222222222
gittables,nyhouse,0.709162976136509,0.6685032139577595,0.7398728365356673,0.8107658867152538,,,0.9377840545849752
gittables,turnover,0.46249970256154,0.4579667404314047,0.4579667404314047,0.5062625667749343,0.4779977335189349,0.4587817218117571,0.7326050552640658
wikitables,adult,0.5,0.5,0.5,0.5083492108003844,0.5083491244628799,,0.9264249630964728
wikitables,diabetes,,,,,,,
wikitables,churn,0.5,0.5,0.5,0.5651579735978713,0.5651579735978713,,0.8425275775659408
wikitables,heart,,,,,,,
openml,adult,0.6114707547820328,0.5894401001330863,0.6149677978376255,0.5292865160733381,0.6281926314048183,,0.9264249630964728
openml,diabetes,,,,,,,
openml,churn,0.7070461649745536,0.7054083029786355,0.78767082590612,0.7226833552920509,0.7394766075072982,,0.8425275775659408
openml,heart,,,,,,,
govdata,adult,0.5698820364922154,0.439865438970378,0.6503441297806947,0.3858098728432747,0.3970124230459434,0.4990048163664597,0.9264249630964728
govdata,churn,0.3816476788343795,0.4060709395747759,0.351619778346121,0.5777067348678602,0.4240551292980961,0.4060709395747759,0.8425275775659408
govdata,diabetes,0.5323148148148148,0.4769444444444445,0.4767592592592592,0.5874074074074074,0.5866666666666667,0.5944444444444444,0.8285185185185185
govdata,heart,0.3305555555555556,0.4104166666666666,0.4104166666666666,0.6027777777777779,0.5625,0.5743055555555556,0.8847222222222222
govdata,obesity,0.6697732805842971,0.673016205112599,0.761469111381619,0.3228279062690201,0.7411176202069385,0.7895237370663422,0.8993076688983567
gittables,obesity,0.677048463177115,0.3955131618989652,0.7589013998782714,0.64584601339014,0.7444080949482653,0.5978773584905661,0.8993076688983567
gittables,crime,0.4783251865191664,0.4865963467970157,0.4603421661950089,0.5622459480319012,0.4598404939542063,0.5,0.9153331618214562
govdata,crime,0.5031000771803448,0.6662721893491124,0.6662721893491124,0.6103164394134294,0.6974273218420376,0.46643941342938,0.9153331618214562
