target,baseline_auc,best_uda_auc,oracle_auc,best_uda_level,auc_improvement,oracle_gap_closed,true_overall,true_repurpose_yield,true_discovery_quality,true_alignment_density,true_label_shift,true_feature_overlap,true_pas_score,true_spa_score,true_cslp_score,true_lcc_score,true_pas_loose_score,true_pca_pas_score,true_zscore_copas_score,true_npas_score,true_tsc_score,true_source_consistency,true_top1_score,true_n_sources,fast_overall,fast_repurpose_yield,fast_discovery_quality,fast_alignment_density,fast_label_shift,fast_feature_overlap,fast_pas_score,fast_spa_score,fast_cslp_score,fast_lcc_score,fast_pas_loose_score,fast_pca_pas_score,fast_zscore_copas_score,fast_npas_score,fast_tsc_score,fast_source_consistency,fast_top1_score,fast_n_sources
adult,0.4000405095570437,0.7955372489348542,0.9268465203510736,level2,0.39549673937781055,0.750744545950979,0.0003661627388925,0.3837451989720088,0.5566464099902272,0.4563492063492064,0.6644078270621958,0.2469341068906381,0.0003661627388925,0.720831377849245,0.5,0.5,0.5,0.5,0.2749276378914373,0.0004930507725281,0.3446043924579333,0.9309634931311496,0.6300003696367916,143,0.397488511272356,0.4182053532420686,1.000000238418579,0.1023809523809523,0.7757560032383054,0.3570843894176733,0.0816936028608433,0.5024049091518286,0.2182620713040628,0.7066918555726994,0.0725003332141962,0.0536432157034577,0.6324244261375361,,,1.0,1.000000238418579,224
heart,0.5541666666666667,0.8027777777777778,0.8805555555555555,level5,0.24861111111111112,0.7617021276595746,0.1099018422266498,0.1502538691734335,0.3945201943256653,0.5512820512820512,0.9151010101010102,0.4660774410774411,0.1099018422266498,0.381304974842372,0.5,0.5,0.5,0.5,0.3050183314283763,0.5,0.4203296703296704,0.8657588874273661,0.4421451847516415,6,0.4304458826591761,0.1502538691734335,0.8107421904802322,0.1538461538461538,0.7551010101010102,0.5246913580246914,0.5,1.0,0.2345679012345678,0.4166666666666666,0.0010022641132115,0.0012141911874048,0.6016574185280087,,,0.9001405984193677,0.9075382351875304,6
credit,0.4116666666666667,0.4527380952380952,0.7647619047619049,level5,0.04107142857142854,0.11631827376938625,0.0001464665713377,0.378761843231581,0.4323208217278527,0.3375,0.8512626262626264,0.3658433160020461,0.0001464665713377,0.6750488583129417,0.5,0.5,0.5,0.5,0.3161512203471238,0.0003236919229036,0.8733127028220773,0.9474214935720658,0.5435784019705424,134,0.0890950489452103,0.4254086010904556,0.9111297458410264,0.0649999999999999,0.4475018716892028,0.2286593013389756,0.179066664426855,0.4587536846237057,0.961374154503382,1.0,0.1610049343387219,3.7236445133703445e-14,0.5662578942011697,,,0.9592234761487382,1.0000001192092896,246
diabetes,0.6587962962962963,0.7114814814814814,0.8157407407407408,ensemble,0.05268518518518506,0.33569321533923224,2.8844148183220024e-08,0.528688181842643,0.4078147190287928,0.375,0.5223933480566112,0.3543193728310226,2.8844148183220024e-08,0.7090421128420322,0.5,0.5,0.5,0.5,0.3945969957046932,0.000606761026041,0.5505302068765519,0.9507412028624564,0.513405882767517,940,0.3886669599230976,0.5292604517994557,0.8938176065683365,0.15,0.7503952764104205,0.2019365079365079,0.5,0.7734816533642819,0.0918449579808797,0.535512272147945,0.1133776880359862,0.0559093298136645,0.140297381830178,,,0.8761188613470674,1.000000238418579,947
bank,0.3919289239157068,0.6766131084630563,0.9285334742718212,level2,0.28468418454734956,0.530528830511073,0.0188529308663837,0.1696591666105467,0.1720342249825398,0.171875,0.7439231305741448,0.3410484417502438,0.0188529308663837,0.3560662747519131,0.5,0.5,0.5,0.5,0.1808632282532892,0.0,0.0,0.9667893779848128,0.1893866324676721,8,0.5,0.1696591666105467,0.7606045186519623,0.0,0.8981920249008803,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.9385076832294882,0.8315828442573547,8
turnover,0.4356261377021094,0.5160720871851614,0.725085810995705,level5,0.080445949483052,0.27791764071210223,6.998127610803665e-17,0.1605645242710965,0.3622219568134155,0.6666666666666667,0.8405376833776073,0.2740655372890789,6.998127610803665e-17,0.8673276224772134,0.5,0.5,0.5,0.5,0.4040722518407675,3.4867749039283786e-15,0.3991247404533674,0.9893553715614032,0.3701387157470355,7,0.2384546545000058,0.3393183332210934,0.8973080784082412,0.1259259259259259,0.5496957889981451,0.1564307735342021,0.5,0.9496093923281348,0.5213245919947249,0.770115303991091,0.0631611101204389,0.0802577819605404,0.6948835502750486,,,0.9137215284426966,1.0,80
noshow,0.4244190394765017,0.6940081929669302,0.722996063381658,level5,0.26958915349042845,0.9029132582420812,0.003762312603698,0.2939322599263076,0.2787005576981815,0.2478632478632479,0.6548704759918046,0.8561959139854948,0.003762312603698,0.820362147323759,0.5,0.5,0.5,0.5,0.2117947872671396,0.000428255687318,0.3793663259713694,0.9864504401009084,0.2882501080807971,44,0.5,0.3108183934445301,1.0000001192092896,0.0606060606060606,0.7950530451510852,0.0,0.5,0.5,0.0,0.6933333333333334,0.5,0.5,1.0,,,1.0,1.0000001192092896,55
nyhouse,0.6302669967802305,0.7912147946670386,0.9381792609640712,level6,0.16094779788680813,0.522706681766704,1.6533469791836896e-06,0.5899708618583045,0.435906526554873,0.5333333333333333,0.8976844447825665,0.3223188728608951,1.6533469791836896e-06,0.6595268768370004,0.5,0.5,0.5,0.5,0.2733678744685042,2.073637448184179e-05,0.4236228889686297,0.9479155275635116,0.4723613786041265,2080,0.6177537859686223,0.6083134526193943,1.0000001817941666,0.1166666666666666,0.9181879178661916,0.6754761681159198,0.3567236030803348,0.6512475872445205,0.0989373136673408,0.6245303345536913,0.3567236030803348,0.276722503457288,0.3011412259537872,,,0.9999999740189376,1.000000238418579,2638
obesity,0.6931679853925745,0.7927761716372489,0.8986990261716372,level55,0.09960818624467438,0.48463816398297244,1.1625220519087789e-17,0.3050961304931295,0.3259043896723673,0.2338235294117646,0.9245145260939642,0.1385784805774146,1.1625220519087789e-17,0.7745964263448766,0.5,0.5,0.5,0.5,0.1922599259972148,1.624983768989707e-16,0.7262606689712942,0.991391374791646,0.3437174095707552,51,0.3256986048431216,0.3094270906807234,0.919554391503334,0.0212418300653594,0.7231256324774331,0.3400708610554093,0.0014098875039446,0.4703197120243055,0.3629750465260444,0.67993630501443,0.1215016595625404,1.1707991628413431e-18,0.7818698723953494,,,0.9195543169975248,1.0000001192092896,54
titanic,0.7646584440227704,0.7787476280834914,0.8936432637571158,ensemble,0.014089184060721016,0.10923133504965021,3.835856480202296e-18,0.5929907344946687,0.6047688668631532,0.6571428571428571,0.9748457552578772,0.7639826629276104,3.835856480202296e-18,0.7087622770328911,0.5,0.5,0.5,0.5,0.4197198881803557,0.0809329114788398,0.663143882620592,0.8915579411963864,0.6671060229345139,2163,0.6047647960592416,0.598565031549217,1.0000000685453414,0.2142857142857143,0.8978158416623663,0.7738085397689097,0.2754696046595031,0.4654958109967509,0.1081568181627183,0.5560043590270356,0.2769224643809307,0.1486426665715337,0.2903897708865885,,,0.9999999574337696,1.0000001192092896,2325
stroke,0.6834670781893004,0.739238683127572,0.8290123456790123,level5,0.0557716049382716,0.38319078249805627,0.0099976562312943,0.4673133621585705,0.3774798734717428,0.5549999999999999,0.846040422363237,0.2760958562090008,0.0099976562312943,0.3929571645842044,0.5,0.5,0.5,0.5,0.4320215014910561,0.0045536582901979,0.480238394559205,0.9758341073683956,0.4297881087759088,424,0.4024130213191452,0.4689314351714293,0.8380039930343628,0.8366666666666666,0.932070321121142,0.0794122067820736,0.5,1.0,0.3721731428246377,0.6403954799670497,0.5,0.5,0.5277512748545027,,,1.0,0.8380039930343628,433
churn,0.6370533984344726,0.5661138236585808,0.8426787052106746,level6,-0.07093957477589186,-0.34499437782286657,9.703299184539212e-12,0.3383591256772231,0.4237572154827769,0.4210526315789473,0.9408175457131036,0.3862780351402531,9.703299184539212e-12,0.6285581563536361,0.5,0.5,0.5,0.5,0.1746193122714004,1.660384157040332e-06,0.3508248161271579,0.9640108360545344,0.4435790639510077,79,0.3929285422392656,0.3508114802540844,1.0000001788139343,0.0298245614035087,0.92286426253824,0.1127336562329735,0.5,0.9056845374714418,0.2605889887371067,0.6367582322485733,0.5290393533349314,0.3266409592219297,0.891979541024746,,,0.999999946687985,1.000000238418579,93
